G,U,X,Y
M,-0.385,1.91,6.857
M,-0.169,2.657,6.156
M,-0.809,1.007,4.726
M,0.882,4.685,6.005
F,0.285,0.553,2.559
M,1.297,4.028,6.013
F,-1.083,0.737,5.621
M,-0.119,2.644,4.973
M,-1.111,3.241,5.543
F,-1.321,1.09,3.208
M,0.757,5.011,7.881
M,-1.918,3.244,7.365
M,2.787,7.352,10.29
M,-0.566,2.344,1.936
F,0.27,-0.009,-0.053
F,0.309,3.14,5.271
F,0.646,2.099,6.414
M,-2.514,1.346,5.41
M,-0.19,4.337,8.12
M,-1.348,1.926,6.391
M,-0.785,3.069,6.735
M,0.835,3.369,3.95
F,0.835,1.737,2.91
M,-0.985,3.924,7.4
F,0.115,1.369,3.171
M,-0.302,4.707,7.193
F,0.43,1.246,3.177
M,-2.63,1.142,5.272
M,-2.376,2.049,5.183
F,0.21,1.004,4.952
F,-1.622,1.16,4.13
M,-0.66,4.229,9.422
F,0.039,2.072,2.058
M,0.966,3.366,5.447
F,-0.031,0.659,5.212
M,0.343,3.85,8.199
M,-0.505,2.036,5.571
M,0.26,3.241,7.685
M,-1.68,2.699,6.616
M,-2.044,2.999,5.884
F,-0.783,1.636,2.584
F,0.838,0.592,2.599
M,-1.007,2.218,6.666
F,0.359,3.451,3.843
M,-1.089,0.87,2.368
M,-0.285,3.084,6.445
F,-0.633,2.701,7.335
F,-0.749,1.905,2.767
F,0.177,1.161,4.524
F,-2.093,-2.084,1.403
M,0.722,4.64,10.317
F,1.063,3.035,6.195
M,0.888,4.626,5.949
F,0.951,3.447,6.717
F,1.19,1.859,3.799
F,-1.316,-1.822,1.116
M,0.379,5.038,6.847
F,0.005,-1.935,1.352
F,0.622,1.85,2.719
F,-0.17,-0.001,3.271
F,-0.83,2.086,2.16
F,-1.493,1.487,4.476
M,2.139,5.125,7.944
F,0.021,-0.322,1.319
F,0.1,1.668,5.624
F,0.34,-0.178,2.718
M,1.573,5.053,7.991
F,-2.455,-1.367,2.226
M,1.447,5.686,9.053
F,1.267,2.222,5.221
M,0.269,5.047,5.334
F,0.731,2.198,3.597
M,-1.168,3.195,5.973
M,0.129,4.013,7.665
M,-0.216,4.006,7.325
F,1.948,1.57,4.208
F,0.642,2.128,4.4
F,0.495,0.679,3.481
F,0.292,0.772,2.542
F,1.104,2.833,5.066
F,-0.057,1.131,3.757
F,1.229,-0.581,0.675
F,0.953,2.477,4.868
M,0.086,4.148,7.129
M,0.559,3.649,7.817
F,2.19,4.042,2.839
M,0.129,5.319,8.599
F,-0.878,1.545,0.523
M,0.511,3.741,7.131
M,0.618,3.0,5.234
F,-1.811,-1.52,-0.128
M,0.1,2.498,5.392
F,1.322,2.851,4.046
M,-1.107,1.252,4.875
F,-0.894,1.497,6.77
F,0.225,0.104,0.95
M,-1.008,3.924,6.092
F,0.886,2.701,3.341
M,-0.251,2.781,7.183
F,-0.321,2.461,3.278
M,0.802,4.973,7.447
F,0.269,0.255,4.028
M,-0.597,3.833,4.949
M,-0.993,3.791,9.649
F,-0.549,0.634,1.538
M,0.152,2.049,5.291
M,0.156,3.424,6.245
M,0.66,4.725,5.989
F,-0.08,2.071,0.502
M,0.882,3.578,8.238
F,1.156,3.01,3.11
M,-0.394,2.057,8.413
M,-0.891,3.844,5.436
F,1.7,0.384,4.146
M,-1.154,0.752,4.602
F,0.284,1.449,5.945
M,-0.967,1.006,4.212
M,-0.908,3.055,7.94
M,-0.365,6.295,8.926
M,-1.138,1.81,5.736
M,-1.663,2.986,7.635
M,0.093,5.096,7.278
M,1.555,6.586,6.783
M,0.621,3.959,5.352
F,0.081,0.733,2.731
M,0.505,6.09,4.602
F,-0.032,0.703,4.658
F,0.958,1.869,4.415
M,0.675,3.63,5.238
F,0.042,2.23,2.668
M,-0.878,2.86,6.181
F,-0.547,0.194,0.126
F,-0.552,0.784,2.582
F,0.413,0.898,3.438
M,-0.622,2.646,5.5
M,0.989,6.512,10.385
M,-0.332,5.204,9.37
M,3.066,4.734,6.567
M,1.017,5.066,8.216
F,0.081,2.727,3.566
M,1.083,3.939,7.449
F,2.012,2.518,4.057
F,0.399,0.941,2.968
M,-0.142,4.795,7.694
M,-0.764,1.554,6.585
M,0.911,5.385,7.406
F,-1.247,0.097,3.268
M,0.219,3.913,4.633
M,-0.561,1.887,6.284
M,0.758,5.045,9.093
F,-0.578,3.004,5.337
M,-0.321,4.449,6.18
F,-0.119,3.317,3.297
M,-0.678,0.484,5.295
F,-0.509,1.255,1.764
M,-0.142,2.63,6.353
M,1.123,4.031,6.734
M,0.119,2.06,5.409
F,-0.018,2.993,6.189
F,2.067,2.3,3.063
M,1.01,4.048,6.457
F,1.375,2.179,3.46
M,-1.268,2.683,4.485
M,-1.197,4.557,5.481
M,-1.055,2.101,9.736
M,1.116,2.835,6.404
F,0.372,2.143,4.864
F,-0.926,-0.268,3.622
M,-0.944,5.593,7.405
F,0.427,0.628,1.963
M,0.317,4.52,7.408
F,-0.374,-0.204,3.73
F,-1.413,0.915,3.585
F,-2.368,-1.486,1.585
M,-0.107,2.155,4.536
F,-0.403,-0.015,1.4
F,-0.404,2.099,4.189
M,0.173,4.512,6.207
M,0.445,3.16,7.937
F,0.084,1.441,4.701
F,-0.363,-0.282,3.404
M,0.212,2.923,3.203
M,0.789,5.065,9.393
F,0.803,3.87,7.424
M,-1.399,2.116,7.465
M,-0.32,2.422,4.978
M,0.966,4.948,5.674
M,-0.913,3.409,6.692
M,0.409,6.312,8.569
F,-2.3,-0.483,1.267
F,-0.282,1.667,3.416
F,0.878,2.415,4.6
F,0.092,0.818,3.83
M,2.336,4.853,9.647
M,-0.358,4.888,6.292
F,-0.29,0.146,1.113
F,-1.217,-0.404,2.465
F,-0.544,0.842,4.01
F,-0.858,0.236,2.72
F,0.678,0.598,4.6
F,0.023,-0.587,3.553
M,0.966,4.002,6.343
F,-0.265,2.589,3.188
F,-1.981,-1.25,3.065
F,-0.578,1.144,3.97
F,-1.608,-0.008,2.57
M,0.373,5.145,8.06
F,-0.231,-1.593,0.124
M,-0.005,2.73,6.405
M,-0.175,1.27,7.396
M,1.498,5.401,6.367
F,2.327,3.086,6.475
M,0.085,1.002,4.474
F,-0.387,-1.201,0.89
F,0.686,3.239,4.878
M,-1.999,1.747,3.243
F,-0.585,-0.108,2.174
F,-0.857,-0.82,2.193
M,0.576,4.352,4.449
M,-0.42,3.878,6.989
M,-1.031,1.648,7.174
M,-0.397,1.68,4.18
F,1.064,5.465,7.349
M,-1.388,1.335,3.73
F,-0.253,-0.034,1.123
M,0.035,3.235,4.345
M,-0.427,2.642,4.736
F,1.803,2.693,8.031
M,-1.752,2.098,4.703
M,0.054,4.891,6.458
F,1.452,2.487,3.917
F,2.254,3.846,6.338
M,0.725,4.279,6.636
F,-0.377,2.089,3.174
F,-0.421,1.632,3.51
F,0.333,1.931,1.208
F,0.444,1.757,4.203
F,-0.168,1.591,2.14
F,-0.576,-0.235,3.114
M,0.647,2.815,5.543
M,0.613,3.078,5.058
F,1.277,3.193,5.475
M,-0.353,3.508,7.856
F,-0.235,0.345,5.052
M,-1.23,2.296,6.714
F,0.404,0.584,3.13
M,-1.368,0.274,4.955
F,-1.02,1.113,0.64
F,-1.171,-1.041,0.6
F,0.496,1.685,2.549
F,0.712,-2.132,1.266
M,0.34,5.524,7.995
M,-0.565,2.649,4.045
M,1.391,3.94,8.629
M,0.279,4.533,8.194
F,-0.856,0.113,1.787
M,0.341,3.049,5.909
M,1.164,5.272,9.63
M,1.299,5.64,8.317
F,-2.85,1.51,4.646
F,0.059,2.154,5.221
F,1.953,0.435,0.057
F,0.561,-0.16,5.333
M,-2.716,-0.569,2.732
M,0.906,3.065,5.025
M,-0.656,3.539,4.605
F,0.495,0.543,2.582
M,1.252,4.188,6.83
F,0.725,4.503,4.196
F,0.445,1.71,3.076
M,0.143,5.414,8.565
M,0.518,4.664,5.581
F,-2.003,-0.927,1.94
M,0.478,4.828,6.493
F,-0.311,2.961,3.521
M,1.409,4.741,8.408
M,-0.44,2.754,6.565
M,0.029,4.109,4.687
M,0.533,4.411,6.906
M,0.911,4.285,5.954
F,0.712,1.834,4.985
M,0.083,4.825,8.046
M,0.638,2.87,6.619
F,0.478,0.512,3.961
F,0.671,0.512,1.629
F,-0.247,-0.468,1.889
M,0.933,5.98,9.469
F,-0.015,1.906,2.344
F,-1.289,1.678,5.572
M,0.318,2.45,5.263
F,0.388,-1.848,1.197
F,-0.447,0.575,3.531
M,-0.02,4.369,6.889
F,-1.138,-0.398,1.182
M,0.295,2.176,4.78
F,-1.618,-1.807,5.815
F,-1.41,-0.799,4.958
M,0.647,3.354,4.485
M,0.066,5.862,6.88
M,2.525,5.627,9.825
M,-1.439,4.161,6.157
M,1.188,4.692,7.485
F,-0.514,1.468,4.942
F,-0.31,2.071,3.354
F,1.862,2.219,4.812
F,0.22,-0.172,2.906
F,0.876,2.619,3.841
F,-1.603,1.154,4.021
M,0.961,3.551,6.178
F,0.758,3.694,6.167
M,0.134,2.54,5.719
F,-1.212,-0.15,2.759
F,-1.081,2.083,3.065
F,-0.533,-2.592,0.768
M,-1.267,2.436,7.345
F,1.2,2.323,4.283
F,-0.015,0.844,2.608
M,-0.341,2.307,5.133
M,0.04,4.507,8.029
M,-1.061,5.231,7.382
F,0.818,0.574,1.737
F,1.302,2.164,4.219
F,0.894,1.35,4.2
F,-0.797,1.626,5.714
F,1.092,2.146,1.425
F,-0.679,0.412,3.392
M,0.517,2.747,6.398
M,1.926,5.469,8.701
F,-1.466,-0.104,1.98
F,-0.969,0.726,4.502
F,-0.223,-0.263,4.84
M,-1.364,2.8,6.689
F,-0.15,1.956,3.435
M,0.584,6.538,6.091
M,0.706,5.299,7.13
M,-1.03,3.631,7.859
F,-1.068,0.567,3.29
F,-1.003,-0.581,3.15
M,-1.514,1.225,5.557
F,0.079,0.806,3.55
F,-1.797,0.373,2.953
F,-0.364,0.175,4.116
F,-0.751,-1.195,0.156
F,0.176,0.285,3.895
M,1.155,4.687,6.795
F,-0.408,0.439,2.486
M,0.981,4.883,7.719
F,0.43,1.156,4.548
M,-1.055,2.046,7.707
M,0.41,5.569,9.905
M,0.159,3.028,6.55
F,-1.599,1.245,5.597
F,0.975,1.989,4.092
M,-1.015,1.783,6.531
M,-0.416,2.136,3.984
M,1.698,6.236,8.048
F,1.161,3.503,4.544
F,0.749,2.525,5.18
F,-0.848,-0.171,2.468
M,-0.617,2.696,6.642
F,-0.032,1.156,3.431
M,1.67,3.473,3.514
M,0.139,4.759,9.171
F,-1.105,-0.305,2.645
M,0.223,2.708,6.314
F,-0.035,1.984,2.806
M,0.553,3.639,3.248
F,0.713,1.053,3.281
M,0.006,4.972,5.366
M,-1.095,2.851,9.086
M,-0.421,1.952,6.98
F,0.85,1.877,4.71
M,1.004,3.324,7.102
M,-1.414,3.183,4.921
F,0.49,1.362,1.937
F,-0.082,2.277,1.653
M,0.18,1.761,4.787
M,3.168,6.707,7.052
F,-3.155,-1.001,2.779
M,-1.714,3.533,7.013
M,-0.357,5.448,5.599
F,1.789,4.653,5.027
M,-1.301,1.847,5.499
M,-1.12,1.207,7.436
M,1.187,2.769,6.582
M,-0.385,1.289,3.43
M,-1.268,3.555,6.879
F,1.462,3.09,2.791
M,-0.619,2.921,6.855
F,-0.25,0.456,7.439
F,0.208,2.375,5.26
F,0.179,1.369,4.379
F,0.373,0.709,5.219
M,2.132,7.205,7.949
F,1.377,2.731,3.123
M,-1.432,2.513,4.293
F,-0.36,1.295,2.308
F,-0.159,0.956,3.473
F,1.022,1.717,5.124
F,-1.176,1.216,3.241
F,0.768,0.94,2.549
M,-0.342,3.39,7.772
F,0.769,3.387,3.368
M,-0.133,3.899,4.764
M,1.187,3.988,7.155
F,-0.301,1.572,4.732
F,0.714,2.249,4.877
F,-0.242,4.32,5.65
M,-1.554,5.72,8.242
F,0.346,0.387,1.416
F,0.423,1.569,4.794
F,1.004,1.197,2.302
F,1.1,0.846,5.007
F,0.783,2.535,6.96
F,0.41,1.692,3.279
F,-1.11,0.377,-1.078
F,-1.087,-0.493,4.041
F,0.035,1.499,2.767
F,1.188,0.011,2.287
M,-0.593,2.579,5.106
M,-0.574,3.656,6.153
M,-0.409,4.667,7.874
F,-0.837,-0.041,4.864
F,1.062,1.816,2.013
M,-0.922,3.172,6.853
F,-0.218,2.162,4.582
M,0.852,2.739,6.417
F,-0.298,0.751,4.217
M,1.02,4.287,8.656
F,0.551,2.808,2.515
F,-0.614,3.443,3.843
M,0.087,2.756,6.477
F,0.631,1.595,5.058
M,-0.636,2.552,3.863
M,0.938,4.159,5.3
F,-0.961,0.904,3.019
M,0.044,1.42,2.252
F,0.153,4.819,4.098
M,0.015,2.889,6.762
F,0.1,0.505,0.853
F,1.377,0.922,2.59
M,1.851,5.386,7.65
M,-0.976,2.63,6.406
F,-0.171,1.545,4.782
F,-0.376,-0.323,3.032
F,0.666,-0.141,3.773
M,-1.444,1.463,3.997
M,0.865,4.433,5.351
M,-0.546,3.015,7.658
M,-0.388,3.109,3.456
F,1.187,0.29,3.723
M,-1.09,3.405,6.159
F,0.232,1.975,3.183
F,0.449,-0.212,3.949
M,0.215,3.699,6.6
F,-0.35,-0.036,3.967
M,0.246,3.426,6.875
F,-0.388,-0.848,3.135
M,-3.503,0.744,4.466
M,-0.86,2.072,1.979
F,-0.341,2.114,4.342
F,1.044,2.122,5.092
F,-0.123,1.736,1.779
M,-1.152,2.909,5.345
F,0.629,1.682,3.648
F,-0.583,1.495,3.589
F,0.299,2.993,2.833
F,-0.862,1.266,3.417
M,-1.096,3.429,6.228
F,-1.659,0.198,1.275
M,0.41,1.899,3.736
M,0.307,6.807,8.806
M,1.789,2.253,6.752
M,1.489,5.735,7.076
M,-2.127,3.281,6.341
M,-1.063,2.814,6.52
M,-1.049,1.917,5.815
M,0.642,7.303,8.908
M,0.222,2.175,4.578
F,-0.682,1.189,5.077
F,1.491,2.288,4.72
F,0.865,2.965,4.193
F,0.474,3.701,6.108
F,1.074,0.923,6.437
F,-0.063,2.012,5.104
M,-0.136,2.37,5.804
F,-0.525,-0.212,1.526
M,-0.525,4.244,4.863
M,2.207,3.404,5.855
M,0.855,3.105,6.146
F,-0.07,1.467,5.751
M,0.059,5.255,8.241
M,-1.384,2.551,3.536
F,0.134,0.899,1.61
M,1.493,5.695,7.739
F,-0.763,0.976,4.014
F,0.042,4.412,5.055
F,0.0,1.573,4.967
F,-0.58,1.712,2.935
M,0.833,2.866,6.215
F,1.292,3.35,4.343
F,2.186,3.359,6.122
M,-0.34,3.806,5.693
M,0.537,3.186,6.822
F,0.926,1.84,3.85
M,-0.232,5.995,7.305
M,0.583,4.447,5.643
F,-1.803,-0.801,1.05
F,1.975,1.53,3.283
F,-2.316,0.056,3.471
F,-0.504,0.379,3.061
F,1.117,2.074,3.224
M,-0.567,3.009,6.052
M,-0.403,1.34,5.963
M,1.232,4.626,5.659
M,-1.309,1.577,3.62
F,0.429,-0.807,3.924
F,2.437,5.344,6.484
M,-0.864,1.04,5.832
M,1.392,7.322,8.817
M,-0.463,2.333,5.056
F,-0.025,-0.894,4.181
F,-0.628,1.649,3.279
M,-0.326,2.716,7.448
F,0.624,1.912,4.055
F,2.448,4.009,4.846
M,0.308,6.213,8.502
M,0.272,5.752,7.451
F,-1.633,1.9,4.683
F,-1.112,-0.035,1.345
F,1.187,3.287,4.742
F,1.631,0.123,3.646
M,-0.107,4.278,6.953
F,1.007,0.946,3.085
F,-2.496,-2.07,4.485
F,0.106,2.06,3.066
M,0.012,2.513,2.747
M,-0.21,3.683,3.568
M,0.342,5.926,8.235
M,-1.299,2.102,5.445
F,0.938,0.067,3.49
M,-0.124,1.31,5.863
M,-0.457,3.71,7.227
M,-0.719,2.863,9.979
M,0.895,2.673,4.207
F,0.477,-0.029,3.046
M,-1.736,2.124,5.202
M,0.63,4.92,6.894
M,1.404,5.023,6.471
F,0.456,0.716,2.587
M,0.25,5.664,7.327
F,-0.755,1.251,3.354
F,-0.282,0.737,2.139
M,-0.974,3.377,4.309
M,-0.009,3.141,6.05
F,0.493,0.259,-0.81
F,-1.59,-0.38,1.16
F,2.043,2.863,6.124
M,-0.248,2.639,6.548
M,-0.392,2.52,7.108
M,-1.257,3.413,6.117
F,0.434,1.0,4.43
M,-0.211,4.937,6.87
M,0.012,3.065,4.7
M,0.137,1.609,5.533
M,1.807,4.444,5.869
M,-0.674,2.785,4.425
M,-0.757,2.763,6.252
M,-2.58,0.968,5.14
M,-0.08,3.267,9.128
M,-0.43,2.27,4.464
F,0.37,2.165,2.784
F,0.062,1.499,6.692
F,-0.348,2.509,4.984
M,-2.104,2.937,4.455
F,0.538,2.037,4.058
F,-0.769,-0.115,2.223
M,0.176,6.181,9.501
F,0.181,2.592,1.097
M,-0.378,4.785,6.09
F,-0.945,1.688,3.281
M,0.229,3.099,6.839
F,0.282,0.675,3.578
F,0.484,1.304,3.945
M,-1.686,1.812,4.674
F,-0.886,-0.574,0.315
F,0.942,-0.05,3.813
F,-0.079,2.995,1.72
F,-1.616,-0.056,1.74
M,-1.041,1.901,6.447
M,0.674,2.648,7.307
M,0.088,3.623,7.573
M,2.329,5.84,6.981
M,0.708,2.953,5.638
F,-1.331,1.087,3.638
M,-0.543,3.633,8.109
F,-0.175,1.339,2.877
F,-2.02,0.31,3.938
F,-1.902,0.713,3.663
M,-2.288,3.27,5.906
F,-0.68,1.125,2.504
F,-0.585,0.108,4.353
M,-0.335,3.204,5.661
F,-1.325,1.169,4.002
M,-1.499,1.485,5.36
F,-0.52,-1.041,3.68
F,-0.856,2.121,5.277
F,0.747,-0.14,1.879
M,0.713,3.884,4.592
F,0.065,1.114,4.821
F,-0.635,0.917,3.763
F,0.784,0.636,1.646
M,-0.474,1.123,6.241
F,0.265,0.32,3.013
F,0.758,1.478,5.18
F,-1.447,-0.964,1.036
M,-0.876,2.976,7.196
M,-0.131,2.686,7.691
F,-1.892,1.176,4.538
M,-0.205,1.76,3.815
F,-1.401,0.746,2.129
M,-1.443,2.164,8.438
M,0.408,2.124,5.42
M,-1.553,1.868,5.151
M,0.401,3.087,5.91
M,-1.221,3.368,3.574
M,-0.583,4.378,7.126
M,0.798,5.207,8.14
F,1.381,1.194,3.686
F,1.285,1.839,4.279
F,1.651,2.958,4.798
F,0.81,0.526,6.013
F,-0.759,1.47,2.54
M,0.73,5.251,8.667
M,-0.716,3.205,5.757
M,1.084,3.19,5.065
F,-1.296,-1.536,2.29
F,-0.795,-0.518,1.866
M,-1.105,2.209,8.425
M,-1.832,2.428,7.14
M,0.491,3.318,3.36
M,-0.056,2.973,6.244
M,-0.718,2.617,5.325
F,-1.887,3.241,6.215
F,0.578,1.557,2.618
F,-0.878,1.206,2.872
M,1.16,4.189,6.44
M,-1.467,1.848,4.841
M,0.755,4.142,4.567
F,0.195,0.492,4.31
F,-0.582,1.705,4.064
M,0.269,4.663,8.732
F,-1.004,2.026,3.758
F,0.604,5.404,4.362
M,-0.692,5.945,8.337
F,1.995,4.419,7.401
F,0.19,-1.059,1.157
F,-0.073,1.04,2.056
F,1.563,3.54,5.946
M,-1.387,0.954,4.86
F,-1.222,-0.824,4.985
M,-0.905,2.759,5.774
F,1.831,2.062,5.192
F,0.141,0.9,2.727
F,1.766,3.476,7.571
F,0.735,1.988,1.867
M,-0.118,4.165,5.562
F,0.875,2.958,5.771
M,-0.14,2.304,5.111
M,0.26,3.208,6.823
F,0.066,1.756,2.933
F,0.862,4.404,4.634
M,0.894,5.537,9.024
F,0.221,0.247,4.202
M,-1.232,5.178,7.875
M,-0.785,2.82,7.591
M,0.794,4.033,5.444
M,-0.788,3.156,6.167
F,-0.765,0.911,5.231
F,-0.114,1.122,6.448
F,0.627,2.525,4.489
F,-0.183,0.68,0.332
F,-1.181,-0.475,1.509
M,0.066,4.899,4.763
F,0.954,2.394,2.028
M,0.324,3.741,6.4
M,0.109,3.567,6.002
M,-1.231,2.75,6.163
M,0.376,5.055,6.506
F,-0.352,-1.106,3.64
M,1.388,2.586,5.977
F,0.573,1.02,4.917
M,-0.078,3.299,6.347
F,-1.319,-0.097,2.36
M,-0.499,4.518,8.9
F,0.381,1.732,3.959
F,1.414,3.25,4.463
F,-1.506,0.83,3.744
M,0.044,3.527,7.036
M,-0.58,3.707,5.586
F,-0.612,1.31,2.632
F,0.767,2.186,8.222
F,-0.373,0.599,5.981
F,-0.184,1.085,4.238
F,1.034,2.884,4.399
F,1.95,0.98,3.597
F,1.018,4.168,6.002
F,-1.156,0.002,3.515
F,-0.388,2.805,6.044
M,-1.341,4.585,10.001
F,-0.872,0.344,3.943
M,0.745,3.755,5.114
M,0.446,4.906,6.057
F,1.608,2.117,2.288
F,1.605,1.432,0.075
F,-0.515,2.424,5.956
F,-0.328,1.669,4.549
M,0.763,4.255,5.875
F,-0.816,1.843,1.989
M,1.4,2.831,4.779
M,0.157,5.933,7.469
M,1.91,4.927,7.991
F,-0.196,0.958,3.419
M,-0.649,4.656,4.187
F,0.219,1.567,5.665
M,-0.469,4.172,7.484
M,-2.22,0.05,1.615
M,-0.363,2.971,4.332
M,0.214,5.229,6.749
F,1.027,1.905,4.081
M,0.745,1.498,6.019
F,0.348,1.327,5.239
F,-0.26,1.158,3.963
F,-0.0,0.299,1.265
F,-0.584,-1.411,1.136
M,1.007,4.26,7.416
F,0.592,2.175,4.776
M,-1.457,2.833,4.086
F,2.011,2.638,6.991
F,1.69,3.271,5.152
F,0.2,3.537,6.454
M,-1.224,2.262,5.263
