G,U,X,Y
M,1.444,2.705,3.56
M,1.066,3.474,4.584
M,89.167,72.848,45.274
M,3.56,4.091,5.281
F,4.125,5.84,5.841
M,1.358,2.902,4.647
F,5.383,6.053,6.499
M,2.32,3.077,3.484
M,1.85,2.734,4.915
F,1.15,6.367,5.484
M,1.467,4.389,4.305
M,1.532,3.056,3.557
M,1.052,2.756,3.196
M,27.659,23.374,16.474
F,28.369,26.012,17.103
F,1.124,2.588,3.421
F,1.514,3.091,3.388
M,2.29,3.034,3.363
M,1.949,2.777,3.214
M,2.298,3.871,4.33
M,7.197,7.738,6.406
M,5.416,5.916,5.514
F,1.695,3.315,3.9
M,2.097,3.059,3.361
F,1.232,3.02,10.972
M,1.838,2.699,6.361
F,4.21,48.768,30.829
M,1.339,2.298,2.976
M,1.326,2.308,3.475
F,311.734,251.689,152.616
F,1.292,10.371,8.023
M,26.689,25.795,17.676
F,1.331,4.789,8.773
M,3.484,5.201,4.852
F,1.047,2.476,2.932
M,3.065,4.103,4.392
M,1.714,2.835,3.142
M,2.056,3.298,5.496
M,2.043,3.696,3.785
M,1.613,2.506,3.089
F,1.018,2.52,2.979
F,5.201,5.963,5.99
M,1.702,2.883,3.371
F,1.398,5.825,8.684
M,9.563,9.27,8.146
M,2.066,3.034,4.551
F,60.063,49.772,31.427
F,1.838,3.137,5.121
F,3.464,17.975,12.498
F,1.099,10.504,11.854
M,1.763,3.627,4.002
F,1.801,10.701,7.967
M,1.009,2.938,3.181
F,4.268,58.734,36.821
F,4.219,9.333,7.739
F,1.341,4.79,4.922
M,33.395,28.167,19.852
F,5.002,26.873,17.858
F,2.675,5.208,6.828
F,1.171,40.669,32.825
F,1.688,2.649,3.055
F,1.173,2.201,3.4
M,1.249,3.035,3.458
F,1.327,2.598,4.879
F,1.503,3.002,3.324
F,2.058,3.193,3.471
M,4.419,4.754,4.341
F,3.184,7.068,7.807
M,1.282,2.314,3.514
F,1.057,8.579,6.552
M,1.304,3.223,3.92
F,1.08,6.901,5.595
M,4.884,5.616,4.95
M,1.074,2.242,2.765
M,3.838,4.553,8.383
F,3.615,4.226,5.246
F,1.495,2.694,6.146
F,2.879,5.368,5.474
F,2.027,3.228,3.8
F,56.561,47.108,29.962
F,1.615,3.71,6.276
F,15.303,13.761,10.012
F,1.407,10.635,7.825
M,1.62,2.506,2.957
M,2.006,3.327,3.414
F,2.935,20.541,13.878
M,1.256,2.468,3.075
F,51.999,45.049,28.918
M,28.52,24.097,16.433
M,2.752,3.559,3.887
F,1.817,64.786,44.716
M,2.138,3.496,3.783
F,2.707,48.497,30.702
M,2.851,3.757,3.669
F,10.324,10.179,11.392
F,2.845,9.733,7.378
M,66.924,55.12,38.685
F,3.22,5.069,4.579
M,2.168,3.693,3.9
F,1.174,4.484,4.136
M,3.228,4.184,4.072
F,1.919,4.163,5.032
M,1.008,2.762,3.291
M,1.243,4.894,5.236
F,4.154,5.05,9.094
M,6.09,6.618,5.485
M,6.616,6.598,5.511
M,2.452,3.852,3.725
F,6.335,7.416,7.172
M,1.939,2.965,3.621
F,2.155,12.314,9.027
M,9.624,9.564,7.224
M,21.53,18.775,12.707
F,13.957,20.108,14.458
M,2.741,3.457,3.621
F,2.148,13.443,11.001
M,1.079,3.287,4.182
M,5.887,6.659,6.266
M,1.011,2.232,2.777
M,5.467,5.693,5.197
M,1.103,2.095,3.285
